file_name,image_type,shown_word,przedmiot,celownik,dopelniacz,jest
W-15.png,w,NA,obrazek,obrazek,obrazka,jest
AMB-23.png,a,NA,pęknięcie,pęknięcie,pęknięcia,jest
AMB-24.png,a,W,kot,kota,kota,jest
W-14.png,w,W,kredki,kredki,kredek,są
W-31.png,w,NA,kwiatek,kwiatek,kwiatka,jest
AMB-21.png,a,NA,plama,plamę,plamy,jest
NA-27.png,na,NA,koszulka,koszulkę,koszulki,jest
AMB-5.png,a,NA,kobieta,kobietę,kobiety,jest
NA-1.png,na,NA,kubek,kubek,kubka,jest
AMB-12.png,a,W,butelka,butelkę,butelki,jest
AMB-22.png,a,W,piłka,piłkę,piłki,jest
W-11.png,w,NA,pudełko,pudełko,pudełka,jest
AMB-10.png,a,W,pęknięcie,pęknięcie,pęknięcia,jest
W-2.png,w,W,piłka,piłkę,piłki,jest
AMB-8.png,a,W,podpis,podpis,podpisu,jest
AMB-17.png,a,NA,kolczyk,kolczyk,kolczyka,jest
NA-19.png,na,NA,pierścionek,pierścionek,pierścionka,jest
AMB-25.png,a,NA,pęknięcie,pęknięcie,pęknięcia,jest
W-20.png,w,W,telefon,telefon,telefonu,jest
AMB-2.png,a,W,dziura,dziurę,dziury,jest
W-16.png,w,W,napój,napój,napoju,jest
NA-10.png,na,W,mucha,muchę,muchy,jest
NA-26.png,na,W,paczka,paczkę,paczki,jest
W-19.png,w,NA,ryba,rybę,ryby,jest
W-32.png,w,W,klucz,klucz,klucza,jest
W-17.png,w,NA,krzesło,krzesło,krzesła,jest
NA-4.png,na,W,obrazek,obrazek,obrazka,jest
NA-12.png,na,W,napis,napis,napisu,jest
NA-15.png,na,NA,skarpetka,skarpetkę,skarpetki,jest
AMB-29.png,a,NA,pomarańcza,pomarańczę,pomarańczy,jest
NA-24.png,na,W,but,but,buta,jest
W-22.png,w,W,but,but,buta,jest
W-9.png,w,NA,sowa,sowę,sowy,jest
AMB-19.png,a,NA,pomarańcza,pomarańczę,pomarańczy,jest
NA-18.png,na,W,wazon,wazon,wazonu,jest
W-23.png,w,NA,but,but,buta,jest
NA-20.png,na,W,pomarańcza,pomarańczę,pomarańczy,jest
W-13.png,w,NA,płyn,płyn,płynu,jest
NA-29.png,na,NA,kot,kota,kota,jest
AMB-31.png,a,NA,pomarańcza,pomarańczę,pomarańczy,jest
AMB-9.png,a,NA,pęknięcie,pęknięcie,pęknięcia,jest
NA-14.png,na,W,czapka,czapkę,czapki,jest
NA-28.png,na,W,drzewo,drzewo,drzewa,jest
AMB-28.png,a,W,jabłko,jabłko,jabłka,jest
NA-22.png,na,W,pies,psa,psa,jest
NA-30.png,na,W,dom,dom,domu,jest
NA-9.png,na,NA,mucha,muchę,muchy,jest
NA-23.png,na,NA,piłka,piłkę,piłki,jest
AMB-6.png,a,W,pies,psa,psa,jest
AMB-3.png,a,NA,łódka,łódkę,łódki,jest
W-4.png,w,W,piłka,piłkę,piłki,jest
AMB-16.png,a,W,kobieta,kobietę,kobiety,jest
NA-25.png,na,NA,paczka,paczkę,paczki,jest
W-21.png,w,NA,mucha,muchę,muchy,jest
NA-8.png,na,W,piłka,piłkę,piłki,jest
W-5.png,w,NA,piłka,piłkę,piłki,jest
AMB-32.png,a,W,jabłko,jabłko,jabłka,jest
AMB-7.png,a,NA,ludzie,ludzi,ludzi,są
W-28.png,w,W,jabłko,jabłko,jabłka,jest
NA-31.png,na,NA,kot,kota,kota,jest
NA-3.png,na,NA,książka,książkę,książki,jest
AMB-4.png,a,W,pomarańcza,pomarańczę,pomarańczy,jest
W-29.png,w,NA,piłka,piłkę,piłki,jest
NA-21.png,na,NA,napis,napis,napisu,jest
NA-11.png,na,NA,lustro,lustro,lustra,jest
W-24.png,w,W,but,but,buta,jest
W-18.png,w,W,noga,nogę,nogi,jest
AMB-1.png,a,NA,obrazek,obrazek,obrazka,jest
NA-17.png,na,NA,balon,balon,balonu,jest
W-27.png,w,NA,jabłko,jabłko,jabłka,jest
AMB-11.png,a,NA,jabłko,jabłko,jabłka,jest
W-25.png,w,NA,ptak,ptaka,ptaka,jest
NA-13.png,na,NA,obrus,obrus,obrusu,jest
NA-7.png,na,NA,piłka,piłkę,piłki,jest
AMB-30.png,a,W,miska,miskę,miski,jest
W-10.png,w,W,pies,psa,psa,jest
AMB-26.png,a,W,pająk,pająka,pająka,jest
W-3.png,w,NA,piłka,piłkę,piłki,jest
W-6.png,w,W,szczoteczka,szczoteczkę,szczoteczki,jest
AMB-15.png,a,NA,przycisk,przycisk,przycisku,jest
W-7.png,w,NA,cukierek,cukierek,cukierka,jest
W-26.png,w,W,korek,korek,korka,jest
AMB-18.png,a,W,jabłko,jabłko,jabłka,jest
NA-2.png,na,W,jabłko,jabłko,jabłka,jest
AMB-13.png,a,NA,zakładka,zakładkę,zakładki,jest
AMB-20.png,a,W,piłka,piłkę,piłki,jest
AMB-14.png,a,W,koniczyna,koniczynę,koniczyny,jest
NA-16.png,na,W,pies,psa,psa,jest
NA-5.png,na,NA,telefon,telefon,telefonu,jest
W-30.png,w,W,mucha,muchę,muchy,jest
NA-32.png,na,W,doniczka,doniczkę,doniczki,jest
NA-6.png,na,W,piłka,piłkę,piłki,jest
W-1.png,w,NA,piłka,piłkę,piłki,jest
W-12.png,w,W,lizak,lizaka,lizaka,jest
AMB-27.png,a,NA,kubek,kubek,kubka,jest
W-8.png,w,W,wtyczka,wtyczkę,wtyczki,jest
W-15.png,w,W,obrazek,obrazek,obrazka,jest
AMB-23.png,a,W,pęknięcie,pęknięcie,pęknięcia,jest
AMB-24.png,a,NA,kot,kota,kota,jest
W-14.png,w,NA,kredki,kredki,kredek,są
W-31.png,w,W,kwiatek,kwiatek,kwiatka,jest
AMB-21.png,a,W,plama,plamę,plamy,jest
NA-27.png,na,W,koszulka,koszulkę,koszulki,jest
AMB-5.png,a,W,kobieta,kobietę,kobiety,jest
NA-1.png,na,W,kubek,kubek,kubka,jest
AMB-12.png,a,NA,butelka,butelkę,butelki,jest
AMB-22.png,a,NA,piłka,piłkę,piłki,jest
